Angular,Aptitud,C# Unity,C++ Unreal Engine,CSS,Educación,Experiencia,Flutter,HTML,Java,JavaScript,Kotlin,NoSQL,Puntos,Python,React,SQL,Swift,Área
0,No apto,0,0,1,Ingeniería,0,0,0,0,0,0,0,0.4285714285714285,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,5,0,0,0,0,0,0,0.4809523809523809,0,1,0,0,Desarrollo Web
0,No apto,0,1,0,Licenciatura,5,0,0,0,0,0,0,0.5444444444444444,0,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Licenciatura,11,0,0,0,0,0,0,0.7111111111111111,1,0,0,0,Desarrollo de Juegos
1,Apto,0,0,0,Ingeniería,17,0,1,0,1,0,0,0.9047619047619048,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Licenciatura,2,0,1,0,0,0,1,0.4761904761904762,0,0,1,0,Desarrollo Web
0,No apto,0,1,0,Tecnicatura,13,0,0,0,0,0,0,0.611111111111111,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,11,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
1,No apto,0,0,0,Ninguna,1,0,0,0,0,0,0,0.1142857142857142,0,0,0,0,Desarrollo Web
0,Apto,0,0,0,Ingeniería,19,1,0,0,0,0,0,0.8888888888888888,0,0,0,1,Desarrollo Móvil
1,No apto,0,0,0,Licenciatura,7,0,0,0,0,0,0,0.6761904761904761,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,18,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
1,Apto,0,0,1,Ingeniería,16,0,1,0,1,0,1,1.0,0,1,1,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,11,0,0,0,0,1,0,0.8222222222222223,0,0,0,1,Desarrollo Móvil
0,Apto,1,1,0,Ingeniería,7,0,0,0,0,0,0,0.9333333333333332,1,0,0,0,Desarrollo de Juegos
0,Apto,0,0,0,Ingeniería,3,1,0,0,0,1,0,0.7333333333333334,0,0,0,1,Desarrollo Móvil
0,Apto,1,1,0,Ingeniería,15,0,0,0,0,0,0,1.0,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,19,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Licenciatura,10,0,0,0,0,0,0,0.6444444444444445,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ingeniería,1,0,0,0,1,0,0,0.5428571428571428,0,1,1,0,Desarrollo Web
0,No apto,0,0,0,Ninguna,19,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,Desarrollo de Juegos
1,Apto,0,0,0,Ingeniería,16,0,1,0,1,0,1,0.9047619047619048,0,0,1,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,19,1,0,0,0,1,0,0.9333333333333332,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,0,Licenciatura,19,0,0,0,0,0,0,0.7111111111111111,0,0,0,1,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,19,1,0,0,0,1,0,1.0,0,0,0,1,Desarrollo Móvil
0,Apto,1,0,0,Ingeniería,18,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Tecnicatura,1,0,1,0,0,0,0,0.2809523809523809,0,0,0,0,Desarrollo Web
0,No apto,0,0,0,Ingeniería,1,0,0,0,0,1,0,0.5111111111111111,0,0,0,0,Desarrollo Móvil
0,No apto,0,0,0,Tecnicatura,13,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ingeniería,4,0,1,0,0,0,0,0.5952380952380952,0,1,0,0,Desarrollo Web
0,Apto,0,1,0,Ingeniería,5,0,0,0,0,0,0,0.7222222222222222,1,0,0,0,Desarrollo de Juegos
1,Apto,0,0,1,Licenciatura,14,0,0,0,0,0,0,0.7428571428571429,0,0,1,0,Desarrollo Web
0,No apto,0,0,0,Tecnicatura,17,0,0,0,0,0,0,0.5,0,0,0,0,Desarrollo Móvil
0,Apto,0,0,0,Ingeniería,10,0,1,0,1,0,0,0.7428571428571429,0,1,0,0,Desarrollo Web
0,Apto,0,0,0,Licenciatura,18,1,0,0,0,0,0,0.7111111111111111,0,0,0,0,Desarrollo Móvil
0,Apto,1,1,0,Ingeniería,5,0,0,0,0,0,0,0.8333333333333334,1,0,0,0,Desarrollo de Juegos
0,No apto,0,0,0,Ninguna,2,0,1,0,0,0,0,0.1142857142857142,0,0,0,0,Desarrollo Web
0,Apto,1,0,0,Ingeniería,19,0,0,0,0,0,0,0.8888888888888888,1,0,0,0,Desarrollo de Juegos
0,No apto,1,0,0,Licenciatura,3,0,0,0,0,0,0,0.5555555555555555,1,0,0,0,Desarrollo de Juegos
